COMMON_NAME,SCIENTIFIC_NAME,order,family
American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
American Kestrel,Falco sparverius,Falconiformes,Falconidae (Falcons and Caracaras)
American Pipit,Anthus rubescens,Passeriformes,Motacillidae (Wagtails and Pipits)
American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers)
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies)
American White Pelican,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans)
Anhinga,Anhinga anhinga,Suliformes,Anhingidae (Anhingas)
Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
Barred Owl,Strix varia,Strigiformes,Strigidae (Owls)
Belted Kingfisher,Megaceryle alcyon,Coraciiformes,Alcedinidae (Kingfishers)
Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers)
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-chinned Hummingbird,Archilochus alexandri,Caprimulgiformes,Trochilidae (Hummingbirds)
Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers)
Black-throated Green Warbler,Setophaga virens,Passeriformes,Parulidae (New World Warblers)
Black Vulture,Coragyps atratus,Cathartiformes,Cathartidae (New World Vultures)
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers)
Blue-headed Vireo,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Blue-winged Warbler,Vermivora cyanoptera,Passeriformes,Parulidae (New World Warblers)
Blue Grosbeak,Passerina caerulea,Passeriformes,Cardinalidae (Cardinals and Allies)
Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Boat-tailed Grackle,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies)
Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies)
Brown Creeper,Certhia americana,Passeriformes,Certhiidae (Treecreepers)
Brown Pelican,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans)
Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Carolina Chickadee,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens)
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings)
Chimney Swift,Chaetura pelagica,Caprimulgiformes,Apodidae (Swifts)
Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows)
Common Gallinule,Gallinula galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies)
Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers)
Cooper's Hawk,Accipiter cooperii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows)
Double-crested Cormorant,Phalacrocorax auritus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Downy Woodpecker,Dryobates pubescens,Piciformes,Picidae (Woodpeckers)
Eastern Bluebird,Sialia sialis,Passeriformes,Turdidae (Thrushes and Allies)
Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae (Troupials and Allies)
Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eastern Screech-Owl,Megascops asio,Strigiformes,Strigidae (Owls)
Eastern Towhee,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Sparrows)
Eastern Wood-Pewee,Contopus virens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eurasian Collared-Dove,Streptopelia decaocto,Columbiformes,Columbidae (Pigeons and Doves)
European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings)
Fish Crow,Corvus ossifragus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Forster's Tern,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets)
Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Great-tailed Grackle,Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies)
Great Blue Heron,Ardea herodias,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Great Crested Flycatcher,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Great Egret,Ardea alba,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Great Horned Owl,Bubo virginianus,Strigiformes,Strigidae (Owls)
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Green Heron,Butorides virescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Hairy Woodpecker,Dryobates villosus,Piciformes,Picidae (Woodpeckers)
Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae (Thrushes and Allies)
Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
House Finch,Haemorhous mexicanus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows)
House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens)
Inca Dove,Columbina inca,Columbiformes,Columbidae (Pigeons and Doves)
Indigo Bunting,Passerina cyanea,Passeriformes,Cardinalidae (Cardinals and Allies)
Killdeer,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings)
Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Least Sandpiper,Calidris minutilla,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Little Blue Heron,Egretta caerulea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Loggerhead Shrike,Lanius ludovicianus,Passeriformes,Laniidae (Shrikes)
Magnolia Warbler,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers)
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Marsh Wren,Cistothorus palustris,Passeriformes,Troglodytidae (Wrens)
Mississippi Kite,Ictinia mississippiensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mourning Dove,Zenaida macroura,Columbiformes,Columbidae (Pigeons and Doves)
Neotropic Cormorant,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Northern Cardinal,Cardinalis cardinalis,Passeriformes,Cardinalidae (Cardinals and Allies)
Northern Flicker,Colaptes auratus,Piciformes,Picidae (Woodpeckers)
Northern Mockingbird,Mimus polyglottos,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Northern Parula,Setophaga americana,Passeriformes,Parulidae (New World Warblers)
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows)
Orange-crowned Warbler,Oreothlypis celata,Passeriformes,Parulidae (New World Warblers)
Orchard Oriole,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies)
Osprey,Pandion haliaetus,Accipitriformes,Pandionidae (Osprey)
Painted Bunting,Passerina ciris,Passeriformes,Cardinalidae (Cardinals and Allies)
Palm Warbler,Setophaga palmarum,Passeriformes,Parulidae (New World Warblers)
Pectoral Sandpiper,Calidris melanotos,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Pied-billed Grebe,Podilymbus podiceps,Podicipediformes,Podicipedidae (Grebes)
Pileated Woodpecker,Dryocopus pileatus,Piciformes,Picidae (Woodpeckers)
Pine Siskin,Spinus pinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Pine Warbler,Setophaga pinus,Passeriformes,Parulidae (New World Warblers)
Purple Finch,Haemorhous purpureus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Purple Martin,Progne subis,Passeriformes,Hirundinidae (Swallows)
Red-bellied Woodpecker,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers)
Red-breasted Nuthatch,Sitta canadensis,Passeriformes,Sittidae (Nuthatches)
Red-eyed Vireo,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Red-shouldered Hawk,Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Red-tailed Hawk,Buteo jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies)
Redhead,Aythya americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Roseate Spoonbill,Platalea ajaja,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Royal Tern,Thalasseus maximus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Ruby-crowned Kinglet,Regulus calendula,Passeriformes,Regulidae (Kinglets)
Ruby-throated Hummingbird,Archilochus colubris,Caprimulgiformes,Trochilidae (Hummingbirds)
Rufous Hummingbird,Selasphorus rufus,Caprimulgiformes,Trochilidae (Hummingbirds)
Rusty Blackbird,Euphagus carolinus,Passeriformes,Icteridae (Troupials and Allies)
Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Sparrows)
Sedge Wren,Cistothorus platensis,Passeriformes,Troglodytidae (Wrens)
Snowy Egret,Egretta thula,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Song Sparrow,Melospiza melodia,Passeriformes,Passerellidae (New World Sparrows)
Spotted Sandpiper,Actitis macularius,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Summer Tanager,Piranga rubra,Passeriformes,Cardinalidae (Cardinals and Allies)
Swamp Sparrow,Melospiza georgiana,Passeriformes,Passerellidae (New World Sparrows)
Tennessee Warbler,Oreothlypis peregrina,Passeriformes,Parulidae (New World Warblers)
Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows)
Tricolored Heron,Egretta tricolor,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Tufted Titmouse,Baeolophus bicolor,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Turkey Vulture,Cathartes aura,Cathartiformes,Cathartidae (New World Vultures)
White-eyed Vireo,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
White-faced Ibis,Plegadis chihi,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
White-throated Sparrow,Zonotrichia albicollis,Passeriformes,Passerellidae (New World Sparrows)
White-winged Dove,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves)
White Ibis,Eudocimus albus,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Wilson's Snipe,Gallinago delicata,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae (New World Warblers)
Wood Duck,Aix sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Wood Thrush,Hylocichla mustelina,Passeriformes,Turdidae (Thrushes and Allies)
Yellow-bellied Sapsucker,Sphyrapicus varius,Piciformes,Picidae (Woodpeckers)
Yellow-billed Cuckoo,Coccyzus americanus,Cuculiformes,Cuculidae (Cuckoos)
Yellow-crowned Night-Heron,Nyctanassa violacea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Yellow-rumped Warbler,Setophaga coronata,Passeriformes,Parulidae (New World Warblers)
Yellow Warbler,Setophaga petechia,Passeriformes,Parulidae (New World Warblers)
Acadian Flycatcher,Empidonax virescens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Rock Pigeon,Columba livia,Columbiformes,Columbidae (Pigeons and Doves)
White-breasted Nuthatch,Sitta carolinensis,Passeriformes,Sittidae (Nuthatches)
Field Sparrow,Spizella pusilla,Passeriformes,Passerellidae (New World Sparrows)
Red-headed Woodpecker,Melanerpes erythrocephalus,Piciformes,Picidae (Woodpeckers)
Scarlet Tanager,Piranga olivacea,Passeriformes,Cardinalidae (Cardinals and Allies)
White-crowned Sparrow,Zonotrichia leucophrys,Passeriformes,Passerellidae (New World Sparrows)
American Tree Sparrow,Spizelloides arborea,Passeriformes,Passerellidae (New World Sparrows)
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies)
Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows)
Bay-breasted Warbler,Setophaga castanea,Passeriformes,Parulidae (New World Warblers)
Black-capped Chickadee,Poecile atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Black Tern,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Blackburnian Warbler,Setophaga fusca,Passeriformes,Parulidae (New World Warblers)
Blackpoll Warbler,Setophaga striata,Passeriformes,Parulidae (New World Warblers)
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bobolink,Dolichonyx oryzivorus,Passeriformes,Icteridae (Troupials and Allies)
Bohemian Waxwing,Bombycilla garrulus,Passeriformes,Bombycillidae (Waxwings)
Broad-winged Hawk,Buteo platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Canada Warbler,Cardellina canadensis,Passeriformes,Parulidae (New World Warblers)
Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cape May Warbler,Setophaga tigrina,Passeriformes,Parulidae (New World Warblers)
Chestnut-sided Warbler,Setophaga pensylvanica,Passeriformes,Parulidae (New World Warblers)
Clay-colored Sparrow,Spizella pallida,Passeriformes,Passerellidae (New World Sparrows)
Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
Common Loon,Gavia immer,Gaviiformes,Gaviidae (Loons)
Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Nighthawk,Chordeiles minor,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Common Redpoll,Acanthis flammea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Eared Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes)
Fox Sparrow,Passerella iliaca,Passeriformes,Passerellidae (New World Sparrows)
Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Golden-winged Warbler,Vermivora chrysoptera,Passeriformes,Parulidae (New World Warblers)
Gray-cheeked Thrush,Catharus minimus,Passeriformes,Turdidae (Thrushes and Allies)
Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Harris's Sparrow,Zonotrichia querula,Passeriformes,Passerellidae (New World Sparrows)
Hoary Redpoll,Acanthis hornemanni,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Hooded Merganser,Lophodytes cucullatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Horned Grebe,Podiceps auritus,Podicipediformes,Podicipedidae (Grebes)
Horned Lark,Eremophila alpestris,Passeriformes,Alaudidae (Larks)
Lark Sparrow,Chondestes grammacus,Passeriformes,Passerellidae (New World Sparrows)
Least Flycatcher,Empidonax minimus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser Yellowlegs,Tringa flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Lincoln's Sparrow,Melospiza lincolnii,Passeriformes,Passerellidae (New World Sparrows)
Long-billed Dowitcher,Limnodromus scolopaceus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Mourning Warbler,Geothlypis philadelphia,Passeriformes,Parulidae (New World Warblers)
Nashville Warbler,Oreothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers)
Northern Harrier,Circus hudsonius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Shrike,Lanius borealis,Passeriformes,Laniidae (Shrikes)
Northern Waterthrush,Parkesia noveboracensis,Passeriformes,Parulidae (New World Warblers)
Olive-sided Flycatcher,Contopus cooperi,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Ovenbird,Seiurus aurocapilla,Passeriformes,Parulidae (New World Warblers)
Philadelphia Vireo,Vireo philadelphicus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Pine Grosbeak,Pinicola enucleator,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Red Crossbill,Loxia curvirostra,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ring-necked Pheasant,Phasianus colchicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rose-breasted Grosbeak,Pheucticus ludovicianus,Passeriformes,Cardinalidae (Cardinals and Allies)
Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Semipalmated Sandpiper,Calidris pusilla,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Sharp-shinned Hawk,Accipiter striatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Snow Bunting,Plectrophenax nivalis,Passeriformes,Calcariidae (Longspurs and Snow Buntings)
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Solitary Sandpiper,Tringa solitaria,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Sora,Porzana carolina,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Spotted Towhee,Pipilo maculatus,Passeriformes,Passerellidae (New World Sparrows)
Swainson's Hawk,Buteo swainsoni,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies)
Townsend's Solitaire,Myadestes townsendi,Passeriformes,Turdidae (Thrushes and Allies)
Townsend's Warbler,Setophaga townsendi,Passeriformes,Parulidae (New World Warblers)
Vesper Sparrow,Pooecetes gramineus,Passeriformes,Passerellidae (New World Sparrows)
Virginia Rail,Rallus limicola,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Warbling Vireo,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Western Grebe,Aechmophorus occidentalis,Podicipediformes,Podicipedidae (Grebes)
Western Kingbird,Tyrannus verticalis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Western Meadowlark,Sturnella neglecta,Passeriformes,Icteridae (Troupials and Allies)
White-winged Crossbill,Loxia leucoptera,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Willow Flycatcher,Empidonax traillii,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Wilson's Phalarope,Phalaropus tricolor,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae (Wrens)
Yellow-bellied Flycatcher,Empidonax flaviventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Yellow-breasted Chat,Icteria virens,Passeriformes,Icteriidae (Yellow-breasted Chat)
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Passeriformes,Icteridae (Troupials and Allies)
Anna's Hummingbird,Calypte anna,Caprimulgiformes,Trochilidae (Hummingbirds)
Band-tailed Pigeon,Patagioenas fasciata,Columbiformes,Columbidae (Pigeons and Doves)
Barn Owl,Tyto alba,Strigiformes,Tytonidae (Barn-Owls)
Bewick's Wren,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens)
Black-headed Grosbeak,Pheucticus melanocephalus,Passeriformes,Cardinalidae (Cardinals and Allies)
Black-throated Gray Warbler,Setophaga nigrescens,Passeriformes,Parulidae (New World Warblers)
Brandt's Cormorant,Phalacrocorax penicillatus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae (Troupials and Allies)
Bushtit,Psaltriparus minimus,Passeriformes,Aegithalidae (Long-tailed Tits)
California Scrub-Jay,Aphelocoma californica,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Cassin's Vireo,Vireo cassinii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Chestnut-backed Chickadee,Poecile rufescens,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Clark's Grebe,Aechmophorus clarkii,Podicipediformes,Podicipedidae (Grebes)
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Raven,Corvus corax,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Dunlin,Calidris alpina,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Evening Grosbeak,Coccothraustes vespertinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Glaucous-winged Gull,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Golden-crowned Sparrow,Zonotrichia atricapilla,Passeriformes,Passerellidae (New World Sparrows)
Heermann's Gull,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Hooded Oriole,Icterus cucullatus,Passeriformes,Icteridae (Troupials and Allies)
Hutton's Vireo,Vireo huttoni,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Marbled Godwit,Limosa fedoa,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Merlin,Falco columbarius,Falconiformes,Falconidae (Falcons and Caracaras)
Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Northwestern Crow,Corvus caurinus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Pacific-slope Flycatcher,Empidonax difficilis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Pacific Wren,Troglodytes pacificus,Passeriformes,Troglodytidae (Wrens)
Pelagic Cormorant,Phalacrocorax pelagicus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Peregrine Falcon,Falco peregrinus,Falconiformes,Falconidae (Falcons and Caracaras)
Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-breasted Sapsucker,Sphyrapicus ruber,Piciformes,Picidae (Woodpeckers)
Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Red-throated Loon,Gavia stellata,Gaviiformes,Gaviidae (Loons)
Rough-legged Hawk,Buteo lagopus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Ruffed Grouse,Bonasa umbellus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Steller's Jay,Cyanocitta stelleri,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Varied Thrush,Ixoreus naevius,Passeriformes,Turdidae (Thrushes and Allies)
Vaux's Swift,Chaetura vauxi,Caprimulgiformes,Apodidae (Swifts)
Violet-green Swallow,Tachycineta thalassina,Passeriformes,Hirundinidae (Swallows)
Western Gull,Larus occidentalis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Western Sandpiper,Calidris mauri,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Western Tanager,Piranga ludoviciana,Passeriformes,Cardinalidae (Cardinals and Allies)
Whimbrel,Numenius phaeopus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Black-necked Stilt,Himantopus mexicanus,Charadriiformes,Recurvirostridae (Stilts and Avocets)
Cave Swallow,Petrochelidon fulva,Passeriformes,Hirundinidae (Swallows)
